Mnemonic,Addr. Mode,Opcode,Orig Cycles,New Cycles,# Bytes,N,V,B,D,I,Z,C,MC Step,Done,Addr_Op,Din_Le,Rd_En,Dout_op,Dint1_Op,Dint2_Op,Dint3_Op,PC_Op,SP_Op,Alu1,Alu2,ALU_OP,A_Le,X_Le,Y_Le,Flag_Op
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,sub,,,,nzc
CMP,IMM,C9,2,3,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,done,,,,,,,,,,a_reg,din,sub,,,,nzc
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
CMP,"(IND,X)",C1,6,7,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,din_zxp,en,read,,,, ,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,din,,,,,,,,,,,
,,,,,,,,,,,,,4,,split,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,a_reg,din,sub,,,,nzc
CMP,"(IND),Y",D1,5,7,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,din_zp,en,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,din,,,,,,,,,,,
,,,,,,,,,,,,,4,,split_y,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,a_reg,din,sub,,,,nzc
CMP,Z-PAGE,C5,3,4,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,a_reg,din,sub,,,,nzc
CMP,"Z-PAGE,X",D5,4,4,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,a_reg,din,sub,,,,nzc
CPX,ABS,EC,4,5,3,N,,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,x_reg,din,sub,,,,nzc
CPX,IMM,E0,2,3,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,done,,,,,,,,,,x_reg,din,sub,,,,nzc
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
CPX,Z-PAGE,E4,3,4,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,x_reg,din,sub,,,,nzc
CPY,ABS,CC,4,5,3,N,,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,y_reg,din,sub,,,,nzc
CPY,IMM,C0,2,3,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,done,,,,,,,,,,y_reg,din,sub,,,,nzc
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
CPY,Z-PAGE,C4,3,4,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,y_reg,din,sub,,,,nzc
DEC,ABS,CE,6,8,3,N,,,,,Z,,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,read,,,din,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,alu,,,din,one,sub,,,,nz
,,,,,,,,,,,,,5,,dint16,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
DEC,"ABS,X",DE,7,8,3,N,,,,,Z,,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_x,,read,,,din,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,alu,,,din,one,sub,,,,nz
,,,,,,,,,,,,,5,,dint16_x,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
DEC,Z-PAGE,C6,5,7,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,din,,,,,,,,,,,
,,,,,,,,,,,,,2,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,alu,,,din,one,sub,,,,nz
,,,,,,,,,,,,,4,,dint1_z,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
DEC,"Z-PAGE,X",D6,6,7,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,din,,,,,,,,,,,
,,,,,,,,,,,,,2,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,alu,,,din,one,sub,,,,nz
,,,,,,,,,,,,,4,,dint1_zx,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
DEX,IMP,CA,2,2,1,N,,,,,Z,,0,done,,,,,,,,,,x_reg,one,sub,,le,,nz
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
DEY,IMP,88,2,2,1,N,,,,,Z,,0,done,,,,,,,,,,y_reg,one,sub,,,le,nz
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
EOR,ABS,4D,4,5,3,N,,,,,Z,,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,bit_xor,le,,,nz
EOR,"ABS,X",5D,4,5,3,N,,,,,Z,,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_x,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,bit_xor,le,,,nz
EOR,"ABS,Y",59,4,5,3,N,,,,,Z,,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_y,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,bit_xor,le,,,nz
EOR,IMM,49,2,3,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,done,,,,,,,,,,a_reg,din,bit_xor,le,,,nz
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
EOR,"(IND,X)",41,6,7,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,din_zxp,en,read,,,, ,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,din,,,,,,,,,,,
,,,,,,,,,,,,,4,,split,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,a_reg,din,bit_xor,le,,,nz
EOR,"(IND),Y",51,5,7,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,din_zp,en,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,din,,,,,,,,,,,
,,,,,,,,,,,,,4,,split_y,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,a_reg,din,bit_xor,le,,,nz
EOR,Z-PAGE,45,3,4,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,a_reg,din,bit_xor,le,,,nz
EOR,"Z-PAGE,X",55,4,4,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,a_reg,din,bit_xor,le,,,nz
INC,ABS,EE,6,8,3,N,,,,,Z,,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,read,,,din,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,alu,,,din,one,add,,,,nz
,,,,,,,,,,,,,5,,dint16,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
INC,"ABS,X",FE,7,8,3,N,,,,,Z,,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_x,,read,,,din,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,alu,,,din,one,add,,,,nz
,,,,,,,,,,,,,5,,dint16_x,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
INC,Z-PAGE,E6,5,7,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,din,,,,,,,,,,,
,,,,,,,,,,,,,2,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,alu,,,din,one,add,,,,nz
,,,,,,,,,,,,,4,,dint1_z,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
INC,"Z-PAGE,X",F6,6,7,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,din,,,,,,,,,,,
,,,,,,,,,,,,,2,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,alu,,,din,one,add,,,,nz
,,,,,,,,,,,,,4,,dint1_zx,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
